params,total_cycles,total_cost
3 1 0 0 1 2 0 0 0 0,1867975.0,5203.8142434371875
3 3 0 3 0 1 2 1 1 0,584195.625,27016.64900891717
0 0 0 0 0 1 0 0 1 0,42036716.25,946.9475108610754
0 2 0 2 3 1 0 1 1 0,4165053.75,15824.018919801698
1 0 1 1 2 0 2 1 0 0,3507135.0,9037.701911564724
1 2 2 0 1 0 1 1 1 0,4286520.0,7205.231105353535
2 0 2 2 3 2 2 1 2 0,3913400.3125,27096.698167649236
2 2 3 1 2 2 1 1 2 0,2815978.125,22380.617535928264
3 1 0 0 1 2 0 0 1 0,3430884.375,5203.8142434371875
3 3 0 3 0 1 2 1 2 0,713841.875,27016.64900891717
0 0 0 0 0 1 0 1 0 0,27308500.0,946.9475108610754
0 2 0 2 3 1 1 0 0 0,1772040.0,16464.018919801696
1 0 1 1 2 0 2 1 1 0,5842215.0,9037.701911564724
1 2 2 0 1 0 1 1 2 0,7562593.75,7205.231105353535
2 0 2 2 3 2 3 0 0 0,1252670.0,36312.698167649236
2 2 3 1 2 2 2 0 0 0,739015.0,30444.617535928264
3 1 0 0 1 2 0 0 2 0,6948549.375,5203.8142434371875
3 3 0 3 0 1 3 0 0 0,330830.0,33160.64900891717
0 0 0 0 0 1 0 1 1 0,42036176.25,946.9475108610754
0 2 0 2 3 1 1 0 1 0,2792598.75,16464.018919801696
1 0 1 1 2 0 2 1 2 0,12072463.4375,9037.701911564724
1 2 2 0 1 0 2 1 0 0,2673345.0,10789.231105353534
2 0 2 2 3 2 3 0 1 0,2140166.25,36312.698167649236
2 2 3 1 2 2 2 0 1 0,1230536.25,30444.617535928264
3 1 0 0 1 2 0 1 0 0,1867075.0,5203.8142434371875
3 3 0 3 0 1 3 0 1 0,525436.875,33160.64900891717
0 0 0 0 0 1 1 0 0 0,26710385.0,1586.9475108610754
0 2 0 2 3 1 1 1 0 0,1772040.0,16464.018919801696
1 0 1 1 2 0 3 0 0 0,3483675.0,13645.701911564724
1 2 2 0 1 0 2 1 1 0,4206751.875,10789.231105353534
2 0 2 2 3 2 3 0 2 0,3874812.5,36312.698167649236
2 2 3 1 2 2 2 0 2 0,2743053.75,30444.617535928264
3 1 0 0 1 2 0 1 1 0,3430411.875,5203.8142434371875
3 3 0 3 0 1 3 0 2 0,630087.5,33160.64900891717
0 0 0 0 0 1 1 0 1 0,41214695.625,1586.9475108610754
0 2 0 2 3 1 1 1 1 0,2792598.75,16464.018919801696
1 0 1 1 2 0 3 0 1 0,5809753.125,13645.701911564724
1 2 2 0 1 0 2 1 2 0,7473115.625,10789.231105353534
2 0 2 2 3 2 3 1 0 0,1251900.0,36312.698167649236
2 2 3 1 2 2 2 1 0 0,736705.0,30444.617535928264
3 1 0 0 1 2 0 1 2 0,6948335.625,5203.8142434371875
3 3 0 3 0 1 3 1 0 0,330830.0,33160.64900891717
0 0 0 0 0 1 1 1 0 0,26705165.0,1586.9475108610754
0 2 0 2 3 1 2 0 0 0,1504085.0,17360.018919801696
1 0 1 1 2 0 3 0 2 0,12025290.0,13645.701911564724
1 2 2 0 1 0 3 1 0 0,2656510.0,16933.231105353534
2 0 2 2 3 2 3 1 1 0,2139772.5,36312.698167649236
2 2 3 1 2 2 2 1 1 0,1229355.0,30444.617535928264
3 1 0 0 1 2 1 0 0 0,1640440.0,7763.8142434371875
3 3 0 3 0 1 3 1 1 0,525436.875,33160.64900891717
0 0 0 0 0 1 1 1 1 0,41212738.125,1586.9475108610754
0 2 0 2 3 1 2 0 1 0,2476743.75,17360.018919801696
1 0 1 1 2 0 3 1 0 0,3476955.0,13645.701911564724
1 2 2 0 1 0 3 1 1 0,4186726.875,16933.231105353534
2 0 2 2 3 2 3 1 2 0,3874646.25,36312.698167649236
2 2 3 1 2 2 2 1 2 0,2742555.0,30444.617535928264
3 1 0 0 1 2 1 0 1 0,3153054.375,7763.8142434371875
3 3 0 3 0 1 3 1 2 0,630087.5,33160.64900891717
0 0 0 0 0 1 2 1 0 0,26376495.0,2482.9475108610754
0 2 0 2 3 1 2 1 0 0,1504085.0,17360.018919801696
1 0 1 1 2 0 3 1 1 0,5806513.125,13645.701911564724
1 2 2 0 1 0 3 1 2 0,7450398.75,16933.231105353534
2 0 2 3 0 0 0 0 0 0,1057135.0,7735.484973072978
2 2 3 1 2 2 3 1 0 0,725755.0,44268.617535928264
3 1 0 0 1 2 1 0 2 0,6547269.375,7763.8142434371875
3 3 0 3 0 2 0 0 0 0,864945.0,20872.64900891717
0 0 0 0 0 1 2 1 1 0,40762074.375,2482.9475108610754
0 2 0 2 3 1 2 1 1 0,2476743.75,17360.018919801696
1 0 1 1 2 0 3 1 2 0,12024150.0,13645.701911564724
1 2 2 0 1 1 0 0 0 0,2972215.0,4645.231105353535
2 0 2 3 0 0 0 0 1 0,1591363.125,7735.484973072978
2 2 3 1 2 2 3 1 1 0,1214701.875,44268.617535928264
3 1 0 0 1 2 1 1 0 0,1639540.0,7763.8142434371875
3 3 0 3 0 2 0 0 1 0,1265636.25,20872.64900891717
0 0 0 0 0 1 3 1 0 0,26311125.0,4018.9475108610754
0 2 0 2 3 1 3 0 0 0,1436145.0,18896.018919801696
1 0 1 1 2 1 0 0 0 0,4205370.0,4429.701911564724
1 2 2 0 1 1 0 0 1 0,4551811.875,4645.231105353535
2 0 2 3 0 0 0 0 2 0,2547822.8125,7735.484973072978
2 2 3 1 2 2 3 1 2 0,2723495.625,44268.617535928264
3 1 0 0 1 2 1 1 1 0,3152581.875,7763.8142434371875
